,city,lat,max temp,humidity,clouds,wind
0,langsa,4.47,82.8,81.0,92.0,2.86
1,suntar,62.16,-32.55,93.0,10.0,2.28
2,illoqqortoormiut,-0.74,71.01,91.0,18.0,4.0
3,puerto ayora,67.46,-30.68,94.0,73.0,8.3
4,srednekolymsk,-23.12,75.56,84.0,91.0,13.49
5,rikitea,37.46,57.99,93.0,90.0,6.4
6,half moon bay,33.93,55.0,53.0,75.0,14.99
7,katsuura,49.78,-0.4,84.0,1.0,3.36
8,chapais,69.44,-0.4,84.0,90.0,10.29
9,tuktoyaktuk,66.32,2.12,88.0,36.0,8.19
10,egvekinot,22.93,58.05,62.0,0.0,2.53
11,nizwa,42.65,28.4,79.0,90.0,8.05
12,albany,-46.19,59.0,83.0,82.0,11.01
13,chagda,41.42,35.85,78.0,0.0,10.36
14,sedelnikovo,-34.42,57.0,74.0,15.0,1.01
15,mataura,17.88,80.6,78.0,20.0,6.93
16,saldanha,39.95,33.01,57.0,1.0,6.93
17,hermanus,-54.81,46.4,81.0,75.0,32.21
18,morant bay,39.45,42.8,81.0,20.0,1.48
19,kodiak,5.56,82.83,69.0,5.0,5.59
20,ushuaia,-39.94,59.0,82.0,91.0,19.84
21,saint george,33.19,41.0,56.0,1.0,9.17
22,banda aceh,65.61,33.8,98.0,100.0,17.22
23,waipawa,3.07,85.23,75.0,72.0,12.12
24,taolanaro,71.98,-27.76,81.0,0.0,6.55
25,avera,-33.21,69.01,39.0,2.0,16.28
26,tasiilaq,35.73,63.0,38.0,20.0,13.87
27,butaritari,50.68,37.83,99.0,100.0,10.69
28,khatanga,-34.61,65.32,61.0,100.0,4.03
29,jamestown,-33.93,59.0,58.0,75.0,16.11
30,hasaki,72.79,20.75,88.0,100.0,14.74
31,severo-kurilsk,59.36,-0.74,68.0,100.0,16.89
32,san rafael,60.91,26.6,49.0,0.0,14.99
33,cape town,30.04,46.4,81.0,1.0,3.6
34,upernavik,-22.97,71.74,70.0,72.0,12.19
35,okhotsk,20.2,66.29,17.0,100.0,5.91
36,narsaq,-34.53,57.0,66.0,0.0,8.05
37,nome,-9.67,75.2,88.0,34.0,6.93
38,arraial do cabo,53.4,23.11,72.0,98.0,11.01
39,tessalit,-25.17,76.39,68.0,0.0,6.29
40,bredasdorp,22.08,78.8,78.0,40.0,12.75
41,mys shmidta,-10.46,81.23,81.0,6.0,7.61
42,maceio,45.36,26.01,62.0,40.0,4.7
43,hinton,62.23,48.2,93.0,100.0,21.92
44,beloha,68.22,-4.0,83.0,90.0,4.7
45,kapaa,-43.03,60.8,36.0,40.0,24.16
46,kirakira,19.7,57.99,71.0,5.0,3.76
47,saint-philippe,48.03,30.0,86.0,24.0,3.0
48,klaksvik,34.64,60.8,76.0,90.0,10.22
49,aklavik,3.1,78.8,94.0,75.0,3.36
50,margate,69.22,17.6,72.0,32.0,16.11
51,morelia,-3.36,89.92,53.0,80.0,6.13
52,kamenka,-28.95,84.99,12.0,0.0,5.82
53,lompoc,30.3,51.01,56.0,1.0,8.05
54,kabanjahe,-9.8,80.67,63.0,87.0,8.3
55,ilulissat,-34.02,55.4,66.0,96.0,8.05
56,nabire,-20.41,79.0,65.0,40.0,10.29
57,codrington,19.71,72.0,83.0,1.0,6.93
58,harper,10.15,80.6,61.0,2.0,3.36
59,atuona,-23.58,93.7,17.0,0.0,7.74
60,grand river south east,-6.13,78.93,82.0,73.0,5.61
61,swellendam,68.75,-12.73,96.0,100.0,17.76
62,mahebourg,51.45,37.4,86.0,15.0,5.82
63,hilo,21.09,77.0,69.0,7.0,17.22
64,nizhneyansk,-14.66,63.95,96.0,100.0,2.21
65,nicoya,66.56,15.87,96.0,100.0,4.16
66,bluff,-6.21,79.86,42.0,40.0,6.24
67,soyo,28.21,60.42,53.0,0.0,1.3
68,cherskiy,-53.16,48.2,70.0,20.0,14.99
69,eltham,43.97,30.2,92.0,90.0,0.83
70,dumas,20.43,76.12,60.0,80.0,1.61
